Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5,Text Area 6,Text Area 7,Text Area 8,Text Area 9,Text Area 10,Text Area 11,Text Area 12,Text Area 13,Text Area 14,Text Area 15,Text Area 16,Text Area 17,Text Area 18,Text Area 19,Text Area 20,Text Area 21,Text Area 22,Text Area 23,Text Area 24,Text Area 25,Comments
1,Document,,,,,,,,,Pending review,QuickBites Database ER diagram (crow's foot),,,,,,,,,,,,,,,,,,,,,,,,,
2,Page,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,,,,,,,
3,Entity,Entity Relationship,2,,,,,,,,Customer,PK,CustomerID,INT AUTO_INCRIMENT,Key,cEmail,VARCHAR(100),Key,cName,VARCHAR(100),Key,cPhoneNumber,VARCHAR(13),Key,cAddress,VARCHAR(255),Key,cPassword,VARCHAR(100),Key,PaymentMethod,VARCHAR(100),,,,
4,Entity,Entity Relationship,2,,,,,,,,Orders_From,"PK,FK",DriverID,INT,PK,OrderID,INT AUTO_INCRIMENT,"PK,FK",CustomerID,INT,"PK,FK",RestaurantID,INT,"PK,FK",MenuItemID,INT,Key,OrderDate,DATETIME,Key,TotalAmount,"DECIMAL(7,2)",Key,Status,VARCHAR(50),
5,Entity,Entity Relationship,2,,,,,,,,Delivers_To,"FK,PK",OrderID,INT,"FK,PK",DriverID,INT,"FK,PK",CustomerID,INT,Key,PickUpTime,DATETIME,Key,DeliveryStatus,VARCHAR(50),Key,DeliveryAddress,VARCHAR(255),Key,DeliveryTime,DATETIME,Key,CurrentLocation,VARCHAR(255),
6,Entity,Entity Relationship,2,,,,,,,,Driver,PK,DriverID,INT AUTO_INCRIMENT,Key,dName,VARCHAR(100),Key,dPhoneNumber,VARCHAR(13),Key,DriverRating,VARCHAR(100),,,,,,,,,,,,,
7,Rectangle,,2,,19,,,,,,Lucidchart basics,,,,,,,,,,,,,,,,,,,,,,,,,
8,User Image,User Images,2,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Breakout boards,Action Shapes,2,,,,,,,,Comment,,,,,,,,,,,,,,,,,,,,,,,,,
10,Entity,Entity Relationship,2,,,,,,,,Restaurant,PK,RestaurantID,INT AUTO_INCRIMENT,Key,rAddress,VARCHAR(100),Key,RestaurantName,VARCHAR(200),Key,rPhoneNumber,VARCHAR(13),,,,,,,,,,,,,
11,Entity,Entity Relationship,2,,,,,,,,prepares,"PK,FK",MenuItemID,INT,"PK,FK",RestaurantID,INT,Key,special_instructions,VARCHAR(200),,,,,,,,,,,,,,,,
12,Entity,Entity Relationship,2,,,,,,,,MenuItem,"PK,FK",RestaurantID,INT,PK,MenuItemID,IINT AUTO_INCRIMENT,Key,MealName,VARCHAR(100),Key,Price,"DECIMAL(5,2)",,,,,,,,,,,,,
13,Line,,2,,,3,4,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Line,,2,,,3,5,CFN ERD Many Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Line,,2,,,4,10,CFN ERD Many Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Line,,2,,,10,11,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Line,,2,,,11,12,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Line,,2,,,5,6,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Group 1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,